,date,new_cases
7880,2019-12-31,27
7881,2020-01-01,0
7882,2020-01-02,0
7883,2020-01-03,17
7884,2020-01-04,0
7885,2020-01-05,15
7886,2020-01-06,0
7887,2020-01-07,0
7888,2020-01-08,0
7889,2020-01-09,0
7890,2020-01-10,0
7891,2020-01-11,0
7892,2020-01-12,0
7893,2020-01-13,1
7894,2020-01-14,0
7895,2020-01-15,1
7896,2020-01-16,0
7897,2020-01-17,5
7898,2020-01-18,17
7899,2020-01-19,136
7900,2020-01-20,20
7901,2020-01-21,153
7902,2020-01-22,142
7903,2020-01-23,97
7904,2020-01-24,266
7905,2020-01-25,453
7906,2020-01-26,673
7907,2020-01-27,797
7908,2020-01-28,1767
7909,2020-01-29,1480
7910,2020-01-30,1756
7911,2020-01-31,2003
7912,2020-02-01,2120
7913,2020-02-02,2608
7914,2020-02-03,2818
7915,2020-02-04,3243
7916,2020-02-05,3907
7917,2020-02-06,3751
7918,2020-02-07,3218
7919,2020-02-08,3442
7920,2020-02-09,2619
7921,2020-02-10,2988
7922,2020-02-11,2565
7923,2020-02-12,2072
7924,2020-02-13,15151
7925,2020-02-14,4215
7926,2020-02-15,2560
7927,2020-02-16,2162
7928,2020-02-17,2067
7929,2020-02-18,1995
7930,2020-02-19,1864
7931,2020-02-20,532
7932,2020-02-21,996
7933,2020-02-22,1085
7934,2020-02-23,1008
7935,2020-02-24,527
7936,2020-02-25,793
7937,2020-02-26,863
7938,2020-02-27,1106
7939,2020-02-28,1264
7940,2020-02-29,1838
7941,2020-03-01,1821
7942,2020-03-02,2044
7943,2020-03-03,1596
7944,2020-03-04,2413
7945,2020-03-05,2239
7946,2020-03-06,2856
7947,2020-03-07,3961
7948,2020-03-08,3691
7949,2020-03-09,3871
7950,2020-03-10,4537
7951,2020-03-11,4378
7952,2020-03-12,6887
7953,2020-03-13,8355
7954,2020-03-14,9375
7955,2020-03-15,8140
7956,2020-03-16,16051
7957,2020-03-17,12678
7958,2020-03-18,14740
7959,2020-03-19,18314
7960,2020-03-20,29214
7961,2020-03-21,28742
7962,2020-03-22,34011
7963,2020-03-23,33016
7964,2020-03-24,39785
7965,2020-03-25,38927
7966,2020-03-26,51204
7967,2020-03-27,59718
7968,2020-03-28,63937
7969,2020-03-29,65162
7970,2020-03-30,58487
7971,2020-03-31,62445
